speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
5.519572263610406,9.703307030462629,[-21.89811945 -41.15134502  -1.53515081],[ 0.7516874  -6.20968048  0.72117227],16.010349061596763,6.297854811284755,0,18.666666666666668
6.2202008110100815,9.967411191488518,[-21.88883829 -41.22337601  -1.5268074 ],[ 0.83530473 -6.48278871  0.75090725],96.9711005826557,7.024821622824067,0,18.677777777777777
6.2202008110100815,9.967411191488518,[-21.879496   -41.2916132   -1.51893124],[ 0.84080651 -6.14134673  0.70885367],-116.4,6.174128961726281,0,18.68888888888889
6.2202008110100815,9.967411191488518,[-21.86911385 -41.36349375  -1.51067049],[ 0.93439353 -6.46924974  0.74346783],116.4,6.907529464686684,0,18.7
5.712074380015571,9.645368183540533,[-21.85874288 -41.43158218  -1.50288355],[ 0.9333872  -6.12795916  0.70082504],-116.4,6.116135593969332,0,18.711111111111112
5.712074380015571,9.645368183540533,[-21.84730776 -41.50320563  -1.49473899],[ 1.02916003 -6.44610979  0.73300973],113.42476081502997,6.454410993246214,0,18.72222222222222
5.712074380015571,9.645368183540533,[-21.83564873 -41.57288447  -1.48686495],[ 1.04931333 -6.27109591  0.70866425],-58.40604775428026,6.26446962461343,0,18.733333333333334
5.658069121906911,9.451281742990865,[-21.8234157  -41.64290903  -1.47900489],[ 1.10097215 -6.30221032  0.70740489],13.570889425992293,6.689335019579128,0,18.744444444444444
5.658069121906911,9.451281742990865,[-21.81111392 -41.71049106  -1.47147362],[ 1.10716076 -6.08238315  0.67781418],-74.20987779541801,6.3909118406600784,0,18.755555555555556
5.658069121906911,9.451281742990865,[-21.79813807 -41.77914313  -1.46388123],[ 1.16782651 -6.17868614  0.68331515],36.44680300141894,6.399002727138148,0,18.766666666666666
7.596283574967338,10.602115122547094,[-21.78397397 -41.85138805  -1.45595369],[ 1.2747691  -6.50204222  0.71347844],116.4,6.682577540370609,0,18.77777777777778
7.596283574967338,10.602115122547094,[-21.7695118 -41.9224269  -1.4482094],[ 1.30159476 -6.39349676  0.6969868 ],-34.87251257698788,6.710464859404749,0,18.788888888888888
